TT - UTC (Delta-T), from Morrison & Stephenson 2004 (and Addendum)
See http://adsabs.harvard.edu/abs/2004JHA....35..327M
Year	JD	DT	Std. error in DT
-700	1465383	20400	500
-600	1501908	18800	460
-500	1538433	17190	430
-400	1574958	15530	390
-300	1611483	14080	360
-200	1648008	12790	330
-100	1684533	11640	290
0	1721058	10580	260
100	1757583	9600	240
200	1794108	8640	210
300	1830633	7680	180
400	1867158	6700	160
500	1903683	5710	140
600	1940208	4740	120
700	1976733	3810	100
800	2013258	2960	80
900	2049783	2200	70
1000	2086308	1570	55
1100	2122833	1090	40
1200	2159358	740	30
1300	2195883	490	20
1400	2232408	320	20
1500	2268933	200	20
1600	2305448	120	20
1700	2341973	9	5
1710	2345625	10	3
1720	2349277	11	3
1730	2352930	11	3
1740	2356582	12	2
1750	2360235	13	2
1760	2363887	15	2
1770	2367540	16	2
1780	2371192	17	1
1790	2374845	17	1
1800	2378497	14	1
1810	2382149	13	1
1820	2385801	12	1
1830	2389454	8	0.93
1840	2393106	6	0.86
1850	2396759	7	0.79
1860	2400411	8	0.72
1870	2404064	2	0.65
1880	2407716	-5	0.58
1890	2411369	-6	0.51
1900	2415021	-3	0.44
1910	2418673	10	0.37
1920	2422325	21	0.30
1930	2425978	24	0.23
1940	2429630	24	0.16
1950	2433283	29	0.10
1960	2436935	33	0.10
1961	2437300.5	33.606818	0
